delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-10 00:15:00.000000 UTC,2025-06-10 00:30:00.000000 UTC,96.9
2025-06-10 00:30:00.000000 UTC,2025-06-10 00:45:00.000000 UTC,105.55
2025-06-10 00:45:00.000000 UTC,2025-06-10 01:00:00.000000 UTC,97.68
2025-06-10 01:00:00.000000 UTC,2025-06-10 01:15:00.000000 UTC,103.75
2025-06-10 01:15:00.000000 UTC,2025-06-10 01:30:00.000000 UTC,91.0
2025-06-10 01:30:00.000000 UTC,2025-06-10 01:45:00.000000 UTC,95.89
2025-06-10 01:45:00.000000 UTC,2025-06-10 02:00:00.000000 UTC,96.05
2025-06-10 02:00:00.000000 UTC,2025-06-10 02:15:00.000000 UTC,84.08
2025-06-10 02:15:00.000000 UTC,2025-06-10 02:30:00.000000 UTC,83.23
2025-06-10 02:30:00.000000 UTC,2025-06-10 02:45:00.000000 UTC,90.89
2025-06-10 02:45:00.000000 UTC,2025-06-10 03:00:00.000000 UTC,110.96
2025-06-10 03:00:00.000000 UTC,2025-06-10 03:15:00.000000 UTC,122.78
2025-06-10 03:15:00.000000 UTC,2025-06-10 03:30:00.000000 UTC,132.54
2025-06-10 03:30:00.000000 UTC,2025-06-10 03:45:00.000000 UTC,147.09
2025-06-10 03:45:00.000000 UTC,2025-06-10 04:00:00.000000 UTC,143.79
2025-06-10 04:00:00.000000 UTC,2025-06-10 04:15:00.000000 UTC,138.74
2025-06-10 04:15:00.000000 UTC,2025-06-10 04:30:00.000000 UTC,144.25
2025-06-10 04:30:00.000000 UTC,2025-06-10 04:45:00.000000 UTC,160.05
2025-06-10 04:45:00.000000 UTC,2025-06-10 05:00:00.000000 UTC,153.4
2025-06-10 05:00:00.000000 UTC,2025-06-10 05:15:00.000000 UTC,191.64
2025-06-10 05:15:00.000000 UTC,2025-06-10 05:30:00.000000 UTC,131.94
2025-06-10 05:30:00.000000 UTC,2025-06-10 05:45:00.000000 UTC,92.36
2025-06-10 05:45:00.000000 UTC,2025-06-10 06:00:00.000000 UTC,76.64
